COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20060101,P,99,72,64,50,61,93,128,237,496,757,1039,1560,2020,2166,1775,1479,1648,1750,1502,1633,947,704,496,283,01/01/2006
000106,20060101,S,61,82,62,53,53,96,338,1054,981,1106,937,1026,1011,1109,1094,1048,998,706,585,504,419,312,231,124,01/01/2006
000106,20060102,P,160,97,66,65,78,109,220,401,742,1030,1391,1879,2348,2314,2382,2648,2728,1319,2016,2484,1245,1011,584,287,01/02/2006
000106,20060102,S,74,82,73,86,108,155,633,2068,2136,1879,1964,1501,1085,775,1287,1087,943,664,552,465,351,317,266,173,01/02/2006
000106,20060103,P,157,108,51,63,61,92,179,343,427,720,778,951,961,1092,1091,1289,1588,1263,1385,849,459,365,267,177,01/03/2006
000106,20060103,S,111,88,99,66,129,239,441,760,905,1209,1439,947,716,780,798,778,759,575,511,441,385,320,322,162,01/03/2006
000106,20060104,P,121,86,60,61,77,62,96,192,334,519,694,768,798,828,983,1261,1347,1469,1130,780,587,377,226,191,01/04/2006
000106,20060104,S,121,108,80,88,96,160,483,1199,1676,1507,1077,919,823,773,802,812,826,618,420,423,298,273,261,136,01/04/2006
000106,20060105,P,136,89,60,61,51,83,101,162,216,579,666,833,800,878,1005,1281,1556,1872,1551,911,593,386,292,209,01/05/2006
000106,20060105,S,129,110,64,68,81,223,185,1202,1953,1654,1040,865,798,749,808,862,861,711,635,594,497,371,279,176,01/05/2006
000106,20060106,P,130,80,66,64,62,75,123,206,371,601,793,1028,1015,1000,1137,1526,1906,2135,1753,1118,738,549,386,233,01/06/2006
000106,20060106,S,133,106,67,81,93,195,443,1217,1996,1739,1160,998,878,931,1055,1223,1419,1450,1532,1593,1206,839,482,273,01/06/2006
000106,20060107,P,142,89,76,67,71,86,135,237,507,717,993,1187,1405,1394,1527,1977,2449,2251,1946,1342,1023,661,476,260,01/07/2006
000106,20060107,S,158,117,78,67,100,169,985,2012,2010,1907,1923,1793,1053,1132,1144,1158,1209,1009,822,671,466,392,326,183,01/07/2006
000106,20060108,P,128,81,62,64,54,60,114,193,491,751,1104,1406,1817,1686,2137,1358,1577,1879,1601,1915,1326,1838,1090,299,01/08/2006
000106,20060108,S,108,95,76,44,66,52,270,1054,1984,1901,1562,1037,820,883,910,902,800,706,565,496,330,266,171,125,01/08/2006
000106,20060109,P,131,83,74,57,60,79,174,429,519,939,876,830,1023,911,982,1144,1314,1381,1157,647,420,280,205,159,01/09/2006
000106,20060109,S,89,58,61,69,131,235,472,845,1368,1051,946,784,658,656,609,661,619,489,474,433,322,275,267,129,01/09/2006
000106,20060110,P,98,62,44,34,51,57,114,184,340,476,629,705,690,729,874,1041,1310,1357,1037,607,381,298,246,152,01/10/2006
000106,20060110,S,110,63,72,72,82,167,389,813,1181,1130,879,668,568,579,644,708,629,520,452,406,326,287,216,177,01/10/2006
000106,20060111,P,87,60,41,58,63,59,125,208,341,541,681,718,798,797,868,1143,1280,1445,1078,699,450,371,279,157,01/11/2006
000106,20060111,S,112,70,53,61,100,195,422,859,1207,1043,1040,704,635,638,661,775,800,643,536,511,381,408,434,221,01/11/2006
000106,20060112,P,122,84,59,51,50,64,91,142,245,441,521,566,615,699,889,1136,1224,1299,988,654,531,372,269,194,01/12/2006
000106,20060112,S,155,124,91,89,111,190,399,715,1319,1135,980,724,704,782,835,832,893,736,720,686,620,564,455,245,01/12/2006
000106,20060113,P,131,88,71,67,70,78,102,204,385,548,688,880,905,1000,1129,1535,2016,2181,1839,1211,837,532,406,255,01/13/2006
000106,20060113,S,189,132,81,97,96,204,443,1351,1983,1789,1379,1023,895,1136,1266,1459,1719,1678,1794,1874,1424,1047,694,360,01/13/2006
000106,20060114,P,165,86,62,51,64,61,122,160,379,618,981,1179,1320,1408,1745,2144,2246,1951,1394,857,582,486,305,315,01/14/2006
000106,20060114,S,268,184,107,79,100,170,1037,2124,1936,1908,1500,1309,1090,1151,1235,1284,1295,930,719,548,402,393,596,453,01/14/2006
000106,20060115,P,166,80,64,56,52,70,87,146,322,560,984,1387,1558,1803,1906,2339,1972,1730,1411,1149,869,583,558,216,01/15/2006
000106,20060115,S,155,94,74,46,70,99,594,1895,1663,1420,1320,1147,1027,1014,948,1118,964,733,590,479,360,254,172,117,01/15/2006
000106,20060116,P,109,48,45,48,62,104,172,393,662,837,1090,1434,1518,1711,2050,2306,1810,1890,1467,1699,673,564,347,169,01/16/2006
000106,20060116,S,79,75,51,58,112,195,427,1217,1676,1543,929,769,692,647,651,680,626,445,411,310,248,196,174,113,01/16/2006
000106,20060117,P,89,80,49,58,55,73,135,270,510,611,700,754,762,811,852,1029,1177,1188,897,582,373,264,187,136,01/17/2006
000106,20060117,S,79,68,54,64,93,159,411,759,1058,957,734,676,576,586,573,648,590,476,430,349,276,249,265,127,01/17/2006
000106,20060118,P,109,72,50,48,44,74,82,176,346,442,594,675,639,716,787,952,1134,1094,895,569,380,280,242,156,01/18/2006
000106,20060118,S,102,63,52,42,113,154,367,765,910,936,741,592,540,597,635,685,653,583,474,463,320,334,276,193,01/18/2006
000106,20060119,P,83,74,40,66,55,52,64,124,223,295,372,413,461,554,602,796,926,997,760,459,312,224,216,126,01/19/2006
000106,20060119,S,151,87,67,68,70,130,209,564,801,907,708,496,425,539,637,625,641,453,387,532,432,329,388,248,01/19/2006
000106,20060120,P,78,53,45,48,66,42,75,163,261,386,488,661,698,785,956,1300,1689,1896,1501,934,666,429,302,225,01/20/2006
000106,20060120,S,172,117,91,66,78,136,401,1190,1530,1685,1597,1141,883,1041,1066,1305,1577,1665,1693,1727,1295,898,567,289,01/20/2006
000106,20060121,P,106,74,59,43,56,59,81,187,393,629,874,1080,1105,1079,1350,1925,2706,1544,2529,1753,1140,792,551,315,01/21/2006
000106,20060121,S,159,134,82,63,69,174,1310,1928,1777,1914,1876,2038,1220,956,1051,1099,1118,950,770,562,442,316,260,153,01/21/2006
000106,20060122,P,135,68,55,48,63,80,118,178,495,867,1601,2166,2068,1681,1517,1665,1924,1913,1596,977,956,707,393,185,01/22/2006
000106,20060122,S,95,79,42,44,60,80,483,1640,1457,1117,926,795,726,657,656,714,798,1173,811,570,421,259,162,98,01/22/2006
000106,20060123,P,108,62,41,33,38,57,145,393,570,690,765,803,819,817,850,1141,1371,1493,1170,643,437,277,190,112,01/23/2006
000106,20060123,S,69,77,49,64,125,233,545,959,1148,1389,1073,774,640,666,711,601,627,523,444,392,271,239,200,122,01/23/2006
