COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20070101,P,56,76,62,83,91,195,435,610,875,1208,1911,2489,2383,2324,2187,2123,1869,1462,983,951,732,431,239,148,01/01/2007
000106,20070101,S,97,104,74,56,61,102,406,1214,1329,1167,1151,1255,1201,1293,1203,1249,1075,828,750,558,403,292,245,151,01/01/2007
000106,20070102,P,74,56,49,77,115,255,516,818,1047,1184,1315,1415,1387,1330,1580,1872,2034,1555,950,671,449,313,179,131,01/02/2007
000106,20070102,S,99,86,79,116,196,389,623,1334,1703,1806,1537,1285,1127,1113,1188,1167,1021,779,724,608,457,369,331,30,01/02/2007
000106,20070103,P,82,66,62,49,93,137,286,446,483,1032,980,1030,1025,1058,1262,1596,1749,1503,882,543,410,282,215,146,01/03/2007
000106,20070103,S,290,93,85,73,141,315,593,1285,1374,1947,1189,995,980,947,1062,1068,924,691,679,554,456,377,299,194,01/03/2007
000106,20070104,P,100,76,72,79,83,135,227,389,622,917,990,1014,1082,1326,1473,1591,1638,1552,929,572,456,295,191,151,01/04/2007
000106,20070104,S,147,133,79,75,164,310,610,1281,1679,1597,1262,1108,994,1039,972,1088,1059,758,710,701,523,377,355,181,01/04/2007
000106,20070105,P,79,50,45,60,65,78,150,303,431,494,791,831,695,863,1047,1194,1217,1117,765,556,387,263,140,104,01/05/2007
000106,20070105,S,107,87,61,89,78,92,277,564,738,988,806,766,672,742,1000,1107,961,933,1063,819,1066,644,492,228,01/05/2007
000106,20070106,P,62,44,37,55,81,143,311,544,739,1037,1360,1368,1370,1663,2309,1576,1127,1563,1274,1251,1363,1046,1209,170,01/06/2007
000106,20070106,S,119,97,80,57,79,166,923,1477,1495,1440,1584,1683,1718,1739,1729,1190,1075,758,859,528,440,266,263,158,01/06/2007
