COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20150101,P,81,70,41,55,77,129,252,380,574,907,1248,1527,1672,1761,1882,2037,1613,1581,1207,786,580,356,194,142,01/01/2015
000106,20150101,S,97,91,68,90,71,88,317,1278,1791,1452,1428,1512,1451,1439,1386,1389,1111,806,630,460,392,279,205,170,01/01/2015
000106,20150102,P,96,61,66,89,156,327,623,890,1091,1529,2007,2124,1884,2014,2322,2423,1260,1936,1687,1844,791,486,293,190,01/02/2015
000106,20150102,S,125,103,61,78,99,183,382,1404,1712,1508,1645,1760,1791,1885,1908,1640,1428,1188,984,929,688,503,358,254,01/02/2015
000106,20150103,P,100,92,83,101,180,341,706,836,1367,1436,2128,2118,1832,1273,1221,1147,1296,1340,1356,1260,1267,1406,356,167,01/03/2015
000106,20150103,S,187,123,90,102,117,207,686,1674,1665,1563,1768,1641,1257,1116,1055,954,838,670,511,428,368,273,227,184,01/03/2015
000106,20150104,P,125,83,101,85,142,261,549,1046,1640,2369,2635,2309,2047,1928,1940,1556,1349,1050,1149,1064,737,417,249,128,01/04/2015
000106,20150104,S,129,90,52,51,73,106,317,1249,1443,1026,1057,1098,1235,1218,1331,1204,1077,875,613,520,413,315,218,172,01/04/2015
000106,20150105,P,70,61,57,61,121,300,530,783,911,1063,1226,1246,1155,1233,1421,1595,1707,1164,728,520,356,255,177,104,01/05/2015
000106,20150105,S,125,95,86,68,94,214,317,814,1458,1346,1285,1105,1004,896,922,954,921,757,577,565,474,356,269,205,01/05/2015
000106,20150106,P,81,62,58,64,73,200,296,454,600,728,806,824,832,1013,1234,1414,1363,951,676,415,308,192,170,108,01/06/2015
000106,20150106,S,166,115,71,75,98,155,290,749,1104,1006,1008,1034,900,712,719,774,719,604,493,493,378,331,224,145,01/06/2015
000106,20150107,P,58,56,46,74,68,146,264,403,593,714,702,760,791,880,973,1210,1303,997,667,427,281,230,123,88,01/07/2015
000106,20150107,S,96,106,81,57,78,167,209,567,792,1004,1007,1079,919,728,764,819,822,638,546,485,418,297,289,230,01/07/2015
000106,20150108,P,65,36,47,64,64,168,269,443,593,785,858,857,838,989,1242,1509,1433,1081,748,488,334,220,140,101,01/08/2015
000106,20150108,S,148,117,90,77,88,196,299,717,1046,1057,1089,1199,1047,881,954,1089,927,957,748,733,559,404,265,275,01/08/2015
000106,20150109,P,66,41,60,59,76,175,313,445,726,980,1166,1159,1058,1188,1328,1536,1537,1261,790,606,424,269,156,124,01/09/2015
000106,20150109,S,153,119,115,78,93,136,234,655,1113,1347,1266,1121,1023,1067,1206,1479,1705,2141,1929,1759,1470,989,582,317,01/09/2015
000106,20150110,P,89,49,59,77,106,176,359,562,804,1073,1459,1522,1607,1701,1995,2168,1940,1602,1140,908,668,395,200,128,01/10/2015
000106,20150110,S,187,127,83,83,88,175,803,1871,1666,1594,1652,1948,1126,1107,1153,1209,1133,977,709,624,455,355,278,191,01/10/2015
000106,20150111,P,75,54,65,44,54,140,256,637,1254,2202,2525,2405,1986,1671,1681,1701,1625,1067,1199,1119,714,343,191,126,01/11/2015
000106,20150111,S,108,82,53,58,54,115,391,1152,1219,970,934,870,868,816,867,783,663,500,516,929,517,333,192,169,01/11/2015
000106,20150112,P,85,74,59,56,111,309,531,717,794,845,938,962,903,951,1067,1129,1099,790,465,324,178,151,120,71,01/12/2015
000106,20150112,S,106,73,81,61,97,177,308,432,85,1473,908,892,736,675,773,743,663,577,433,379,280,267,181,141,01/12/2015
000106,20150113,P,44,38,30,42,47,115,242,396,490,593,699,672,683,887,1064,1097,1065,760,456,304,220,150,140,120,01/13/2015
000106,20150113,S,94,95,59,55,75,143,280,638,977,1086,800,724,569,598,612,594,595,485,383,387,334,240,198,133,01/13/2015
000106,20150114,P,61,45,39,40,78,145,224,428,608,746,779,864,851,997,1188,1299,1274,942,598,429,306,205,149,90,01/14/2015
000106,20150114,S,78,81,66,60,98,169,317,727,1143,1280,1040,846,847,749,770,848,794,683,505,482,465,345,329,257,01/14/2015
000106,20150115,P,65,52,37,61,60,157,244,408,568,712,767,786,820,1033,1212,1463,1314,958,751,472,363,236,147,115,01/15/2015
000106,20150115,S,160,127,88,89,97,183,334,762,1189,1454,1187,958,874,892,983,1191,1119,1054,856,853,823,681,568,344,01/15/2015
000106,20150116,P,56,56,46,56,90,152,267,459,628,780,917,984,1036,1287,1634,1727,1785,1297,964,611,427,297,164,135,01/16/2015
000106,20150116,S,286,156,114,101,87,205,354,1111,1525,1799,1539,1350,1347,1352,1649,1857,2225,2204,2137,2140,2308,1370,799,487,01/16/2015
000106,20150117,P,73,56,81,65,70,119,252,446,651,978,1199,1232,1215,1271,1623,1818,1759,1571,1122,794,588,379,195,103,01/17/2015
000106,20150117,S,263,158,169,65,90,176,563,1256,1564,1576,1625,1864,1915,2008,1532,1549,1527,1152,919,855,599,467,338,198,01/17/2015
000106,20150118,P,74,52,52,53,58,115,227,433,760,1342,1874,1923,1803,1885,2010,2047,2213,1832,1294,1533,1130,562,260,138,01/18/2015
000106,20150118,S,142,91,68,62,58,106,506,1659,1549,1611,1533,1203,1064,1112,1074,1010,1009,806,659,592,414,341,249,152,01/18/2015
000106,20150119,P,79,53,55,75,148,356,763,1074,1523,1999,2546,2353,2129,2152,2264,1956,1848,1299,881,906,540,276,197,142,01/19/2015
000106,20150119,S,94,80,62,82,98,220,413,1244,1556,1269,1107,972,820,827,792,817,770,638,450,409,357,266,230,153,01/19/2015
000106,20150120,P,113,68,72,52,65,192,436,576,818,746,885,994,909,991,1177,1262,1168,867,597,344,264,208,141,97,01/20/2015
000106,20150120,S,116,67,87,81,87,173,338,612,1160,1112,1032,718,664,632,657,700,687,560,415,353,326,296,260,136,01/20/2015
000106,20150121,P,57,58,46,52,64,173,313,400,544,650,680,679,705,836,976,1015,1057,738,529,325,219,129,58,139,01/21/2015
000106,20150121,S,110,103,82,50,87,134,308,712,961,926,721,642,595,448,598,724,729,388,409,504,427,412,290,262,01/21/2015
000106,20150122,P,78,55,47,51,66,151,255,387,502,614,692,752,775,878,1099,1253,1138,938,661,461,271,222,137,95,01/22/2015
000106,20150122,S,250,125,111,81,86,176,248,745,1052,1184,1091,856,900,1496,952,983,1207,970,788,782,794,622,509,286,01/22/2015
000106,20150123,P,78,51,49,50,66,136,259,395,631,710,815,809,908,1131,1424,1670,1596,1195,865,574,402,265,190,114,01/23/2015
000106,20150123,S,172,147,76,84,91,181,361,1050,1597,1615,1551,1319,1267,1292,1590,1857,1990,2322,2268,2223,2095,1449,680,427,01/23/2015
000106,20150124,P,89,43,58,50,80,142,259,555,677,930,1105,1161,1295,1538,2004,2264,2088,1941,1226,1040,728,462,282,163,01/24/2015
000106,20150124,S,214,139,71,79,93,191,1067,1732,1713,1706,1654,1762,1811,1237,1272,1362,1269,1036,841,672,534,407,331,198,01/24/2015
000106,20150125,P,145,96,110,78,97,166,354,737,1071,1935,2678,2641,2233,2206,1782,1862,1766,1820,1569,1797,1544,825,334,152,01/25/2015
000106,20150125,S,116,112,61,73,73,142,532,1417,1393,1378,996,974,961,961,1040,1013,1038,814,674,504,414,282,219,144,01/25/2015
000106,20150126,P,78,69,73,66,131,401,719,874,954,1067,919,918,736,1197,423,1844,1283,976,601,423,263,205,114,103,01/26/2015
000106,20150126,S,113,71,57,72,105,195,325,706,927,1077,1013,800,660,713,701,708,659,608,508,460,358,270,212,135,01/26/2015
000106,20150127,P,56,51,45,37,64,158,283,441,535,703,815,795,788,914,1067,1194,1168,857,527,399,289,215,141,77,01/27/2015
000106,20150127,S,101,88,79,74,81,151,292,643,896,1007,889,740,646,598,649,627,663,574,449,394,377,304,268,152,01/27/2015
000106,20150128,P,58,51,47,45,70,156,311,472,631,652,772,774,897,915,986,1096,999,812,547,382,299,197,137,99,01/28/2015
000106,20150128,S,111,103,68,64,77,166,328,647,888,979,951,814,743,753,763,890,784,646,611,580,474,394,322,246,01/28/2015
000106,20150129,P,68,45,59,50,68,179,261,495,537,721,706,789,800,883,1044,1163,1088,865,597,412,330,238,145,102,01/29/2015
000106,20150129,S,149,113,71,85,105,175,355,638,1003,1066,984,889,802,910,973,1066,1124,1016,877,826,696,542,433,307,01/29/2015
000106,20150130,P,56,59,38,48,80,149,283,410,603,737,798,871,1063,1190,1430,1522,1481,1207,810,616,375,257,162,115,01/30/2015
000106,20150130,S,186,139,96,81,98,176,345,974,1428,1424,1324,1207,1122,1257,1485,1707,2102,2018,2208,1823,1763,1140,723,500,01/30/2015
