COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000119,20170101,P,66,67,58,58,65,108,212,355,528,871,1205,1365,1267,1135,1025,1050,1146,833,688,481,401,280,218,124,01/01/2017
000119,20170101,S,54,47,48,33,56,78,163,438,666,713,733,846,827,855,879,823,784,631,475,456,363,197,156,111,01/01/2017
000119,20170102,P,85,83,65,62,80,178,296,522,780,1091,1344,1296,1279,1145,1072,1082,1077,857,646,493,395,236,155,120,01/02/2017
000119,20170102,S,63,49,61,54,80,120,237,571,644,738,875,859,1109,911,760,791,705,578,391,282,235,196,152,91,01/02/2017
000119,20170103,P,82,41,52,37,42,117,255,385,495,488,652,813,647,747,628,735,739,627,444,302,214,139,100,65,01/03/2017
000119,20170103,S,63,63,41,43,51,97,211,404,617,581,576,403,473,651,632,586,556,484,330,184,121,131,48,23,01/03/2017
000119,20170104,P,36,47,55,32,44,66,152,256,285,358,519,511,478,497,483,415,429,436,260,208,152,95,76,65,01/04/2017
000119,20170104,S,152,88,57,51,56,118,180,393,423,447,430,414,394,387,465,328,408,285,202,186,172,180,95,84,01/04/2017
000119,20170109,P,60,49,49,47,88,196,413,476,394,521,571,535,500,459,335,234,333,230,172,117,266,125,70,73,01/09/2017
000119,20170109,S,58,33,50,47,58,94,170,308,426,429,379,387,195,405,445,397,375,241,227,193,162,122,75,59,01/09/2017
000119,20170111,P,42,43,29,25,42,42,106,233,334,387,540,572,501,449,473,512,440,216,4,6,8,12,5,73,01/11/2017
000119,20170111,S,42,54,36,27,46,90,154,321,487,390,478,557,511,383,388,378,434,148,3,39,92,226,146,102,01/11/2017
000119,20170112,P,117,89,69,60,59,74,173,223,354,513,553,554,571,553,599,632,652,522,366,257,191,146,127,67,01/12/2017
000119,20170112,S,74,82,55,55,59,99,215,389,445,471,373,584,805,585,644,542,544,472,351,343,348,256,194,161,01/12/2017
000119,20170113,P,58,36,40,36,40,71,154,258,392,478,551,611,622,654,738,886,996,736,472,331,213,168,124,104,01/13/2017
000119,20170113,S,108,109,85,46,71,112,265,652,722,679,679,674,721,757,807,968,1014,987,760,788,691,473,271,222,01/13/2017
000119,20170114,P,73,36,44,52,26,65,132,319,565,704,744,779,712,657,591,591,679,486,401,273,202,134,120,73,01/14/2017
000119,20170114,S,115,81,74,40,65,107,308,470,490,428,673,889,756,754,784,859,806,738,585,415,358,248,192,127,01/14/2017
000119,20170115,P,56,40,42,34,41,53,136,216,399,632,825,816,801,885,869,967,1049,715,641,507,331,208,165,66,01/15/2017
000119,20170115,S,76,32,40,29,47,55,260,662,763,663,696,622,526,649,603,641,589,385,376,254,161,146,104,90,01/15/2017
000119,20170116,P,56,36,34,41,66,124,286,429,699,999,1127,1057,936,879,790,756,790,658,500,419,240,158,95,68,01/16/2017
000119,20170116,S,57,57,49,30,48,73,177,351,522,563,534,562,469,522,570,513,460,425,315,226,167,129,90,83,01/16/2017
000119,20170117,P,37,36,42,26,52,112,272,401,471,592,618,622,592,591,630,720,772,551,385,252,195,173,105,66,01/17/2017
000119,20170117,S,63,54,55,46,65,106,220,494,598,590,612,542,494,508,515,551,523,427,287,293,219,149,114,109,01/17/2017
000119,20170118,P,48,45,35,36,52,98,167,308,429,472,512,537,533,576,655,729,745,648,416,304,197,150,126,83,01/18/2017
000119,20170118,S,58,67,65,54,75,128,242,509,601,640,651,576,524,535,558,602,569,456,373,339,302,212,163,114,01/18/2017
000119,20170119,P,42,33,43,45,61,99,171,301,430,483,534,517,591,590,666,733,593,873,468,272,191,151,120,77,01/19/2017
000119,20170119,S,79,76,73,58,84,127,261,522,646,653,536,581,553,577,664,607,668,596,460,451,350,268,168,142,01/19/2017
000119,20170120,P,58,44,35,36,64,67,124,234,258,481,419,584,572,654,741,791,879,634,431,292,220,113,172,72,01/20/2017
000119,20170120,S,104,86,89,61,68,94,188,497,519,784,560,529,553,617,744,836,915,966,892,817,616,427,239,143,01/20/2017
