COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000119,20060218,P,71,53,57,52,40,72,121,196,438,656,312,1155,677,585,596,590,698,626,415,322,215,166,129,84,02/18/2006
000119,20060218,S,170,129,81,43,60,86,174,392,551,481,521,537,576,611,723,843,745,624,488,390,341,287,228,197,02/18/2006
000119,20060219,P,73,47,40,44,38,32,83,177,306,533,713,800,861,684,697,690,742,664,494,352,350,206,144,71,02/19/2006
000119,20060219,S,130,76,43,47,40,40,90,333,394,486,495,546,533,560,636,735,667,568,398,329,283,200,124,95,02/19/2006
000119,20060220,P,59,45,27,45,57,80,200,352,521,679,929,948,975,894,904,908,907,866,518,447,305,181,105,88,02/20/2006
000119,20060220,S,104,92,57,43,65,102,223,463,620,661,569,448,362,539,537,630,534,512,365,282,203,155,136,99,02/20/2006
000119,20060221,P,51,41,44,44,54,85,204,310,440,554,550,593,554,544,640,744,860,788,464,313,220,161,113,52,02/21/2006
000119,20060221,S,74,57,53,45,49,97,280,455,480,925,614,479,474,410,447,480,487,368,296,266,187,154,133,91,02/21/2006
000119,20060222,P,51,47,45,44,47,76,143,257,407,498,513,538,566,540,619,744,967,834,461,356,225,184,132,75,02/22/2006
000119,20060222,S,54,59,55,43,55,88,252,523,783,804,527,465,475,467,500,558,579,456,350,348,268,225,200,142,02/22/2006
000119,20060223,P,52,53,48,49,64,78,136,285,447,502,533,538,584,601,629,823,1019,973,612,397,292,180,193,108,02/23/2006
000119,20060223,S,100,81,81,69,50,140,248,524,844,825,602,518,464,456,556,608,641,558,420,397,374,295,200,175,02/23/2006
000119,20060224,P,57,64,62,47,69,90,158,307,464,574,651,281,714,745,846,1038,1316,1257,778,539,430,252,178,107,02/24/2006
000119,20060224,S,119,91,65,57,62,131,244,583,1017,1060,792,297,583,657,768,780,896,981,787,516,559,790,422,188,02/24/2006
000119,20060225,P,63,57,60,52,62,96,201,338,643,751,933,859,797,854,961,1001,1271,1066,648,474,379,263,186,109,02/25/2006
000119,20060225,S,121,89,59,52,48,101,210,811,1050,961,1015,779,685,617,773,757,856,728,573,424,377,286,208,157,02/25/2006
000119,20060226,P,73,62,66,65,40,70,159,362,544,797,974,1125,1082,1138,1081,998,1019,909,718,628,484,301,207,122,02/26/2006
000119,20060226,S,111,51,64,37,38,57,133,513,726,748,631,615,563,593,700,786,770,692,555,447,327,217,155,83,02/26/2006
000119,20060227,P,70,42,42,49,43,104,247,352,534,612,620,596,614,605,582,759,847,834,505,320,246,199,125,86,02/27/2006
000119,20060227,S,67,70,55,61,89,141,300,532,768,792,606,517,467,496,488,500,527,435,387,284,247,163,151,85,02/27/2006
000119,20060228,P,59,33,37,38,63,85,130,283,422,499,497,538,510,529,639,717,831,786,514,285,181,161,99,83,02/28/2006
000119,20060228,S,74,65,47,55,53,129,290,503,599,646,552,416,438,398,471,495,537,413,342,299,251,205,172,121,02/28/2006
000119,20060301,P,78,63,68,63,53,44,119,188,279,307,659,498,492,556,621,674,758,736,467,297,245,179,126,85,03/01/2006
000119,20060301,S,84,64,60,35,60,96,227,513,677,538,472,459,386,425,451,508,483,440,397,335,253,235,216,151,03/01/2006
000119,20060302,P,73,58,67,43,47,76,151,285,405,487,542,548,551,579,647,820,1023,892,612,433,293,193,162,87,03/02/2006
000119,20060302,S,93,91,76,53,66,113,303,559,828,731,574,523,491,645,594,611,652,578,504,439,340,323,257,179,03/02/2006
000119,20060303,P,74,61,47,53,67,83,177,275,446,569,658,651,642,674,843,991,1244,1202,798,542,402,253,204,90,03/03/2006
000119,20060303,S,114,93,71,61,47,109,284,561,952,970,897,699,544,653,747,856,992,1031,852,800,654,475,271,199,03/03/2006
000119,20060304,P,79,58,44,42,54,76,193,338,612,713,825,853,792,863,905,975,1143,1012,656,473,297,271,189,113,03/04/2006
000119,20060304,S,114,99,76,53,54,90,231,907,1115,998,716,647,589,574,712,803,753,699,554,416,340,270,252,170,03/04/2006
