COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20190101,P,73,60,69,83,126,202,382,600,1012,1464,2452,2558,2557,2434,2417,2297,1910,1853,1298,1080,767,462,243,151,01/01/2019
000106,20190101,S,90,81,72,48,63,106,298,1148,1299,1143,1328,1601,1686,1724,1594,1592,1285,916,624,487,416,327,237,147,01/01/2019
000106,20190102,P,116,93,89,88,224,349,728,942,1117,1467,1749,1718,1749,1791,1832,2038,2049,1653,1146,850,569,359,235,164,01/02/2019
000106,20190102,S,112,85,71,75,111,258,528,1247,1554,1781,1604,1909,1568,1636,1584,1497,1414,1018,825,648,534,349,237,203,01/02/2019
000106,20190103,P,104,92,78,88,154,224,459,638,769,1152,1283,1308,1463,1651,1874,2178,2216,1861,1297,846,543,397,216,149,01/03/2019
000106,20190103,S,136,85,97,88,112,208,512,1364,1735,1714,1624,1971,1611,1293,1238,1462,1442,1127,840,660,623,437,296,191,01/03/2019
000106,20190104,P,106,78,92,97,143,229,496,639,918,1224,1557,1554,1659,1890,2182,2170,1913,1973,1963,962,685,440,327,201,01/04/2019
000106,20190104,S,158,106,91,86,125,229,549,1401,1937,1676,1884,2143,1652,1451,1727,1869,1875,1713,1624,1383,1210,714,413,288,01/04/2019
000106,20190105,P,104,76,93,104,137,241,484,811,1065,1512,1942,2023,2002,2241,2570,2123,2173,1688,2142,1599,1021,578,374,240,01/05/2019
000106,20190105,S,192,100,100,86,111,268,1341,1991,1655,1549,1762,1887,1917,1835,1984,2007,1681,1213,944,628,498,392,279,204,01/05/2019
000106,20190106,P,105,80,125,119,146,224,580,871,1326,2128,2736,2644,2513,2294,1971,1890,1364,1685,873,1209,679,401,198,158,01/06/2019
000106,20190106,S,120,88,70,74,51,153,816,1575,1524,1496,1279,1298,1342,1272,1188,1230,967,816,559,496,294,234,165,120,01/06/2019
000106,20190107,P,78,77,73,70,95,289,546,741,799,1002,1133,843,866,1480,1864,1598,1792,1168,720,453,339,217,175,132,01/07/2019
000106,20190107,S,114,109,80,71,100,213,452,981,1309,1176,1188,726,586,1064,849,836,790,578,479,393,326,284,189,203,01/07/2019
000106,20190108,P,99,80,68,83,98,193,340,515,690,829,934,1008,1004,1239,1468,1608,1537,1083,673,491,306,243,170,113,01/08/2019
000106,20190108,S,120,108,87,81,107,220,495,1045,1358,1460,1307,966,805,817,802,844,853,612,558,406,352,321,197,130,01/08/2019
000106,20190109,P,85,70,67,80,81,222,312,465,689,833,940,952,1070,1191,1595,1637,1433,1069,724,435,352,253,144,93,01/09/2019
000106,20190109,S,114,97,65,89,126,196,461,923,1284,1346,1147,974,908,884,940,1002,933,701,611,490,394,368,283,188,01/09/2019
000106,20190110,P,79,59,64,68,101,171,332,513,781,956,1059,1032,1196,1336,1383,1402,1357,1208,899,683,458,317,186,124,01/10/2019
000106,20190110,S,144,115,104,85,126,216,465,701,1446,1069,1064,1354,1274,1100,1289,1309,1315,1120,992,894,753,622,478,328,01/10/2019
000106,20190111,P,102,77,72,95,104,155,271,446,603,782,857,1024,1018,1135,1316,1457,1381,1113,727,537,372,236,169,124,01/11/2019
000106,20190111,S,102,229,99,94,112,154,270,928,1221,1615,1582,1438,1069,1381,1621,1736,2029,2174,1553,1969,1166,1120,573,379,01/11/2019
000106,20190112,P,54,67,79,75,91,138,304,483,707,972,1301,1358,1511,1804,2152,2247,2035,1799,1655,1020,658,436,295,146,01/12/2019
000106,20190112,S,196,142,80,69,92,226,1205,1848,1579,1531,1456,1754,2094,2171,1436,1376,1293,969,811,651,420,352,256,169,01/12/2019
000106,20190113,P,75,63,87,68,114,157,339,601,1101,1919,2809,2812,2536,2338,1942,1793,1991,1927,1843,2382,1383,529,184,100,01/13/2019
000106,20190113,S,83,71,60,45,56,120,944,1641,1417,1414,1562,1254,1264,1191,1167,1276,1171,818,715,483,412,289,212,147,01/13/2019
000106,20190114,P,80,42,65,81,138,301,657,778,864,990,1184,1167,1096,1189,1409,1496,1270,1024,720,548,284,204,144,84,01/14/2019
000106,20190114,S,102,106,54,73,126,228,422,925,1209,1393,1168,956,908,814,833,954,830,623,480,438,318,262,191,110,01/14/2019
000106,20190115,P,54,53,56,66,82,171,261,441,595,773,934,936,950,1039,1312,1418,1288,947,629,417,334,210,146,98,01/15/2019
000106,20190115,S,102,93,85,70,116,213,446,767,1069,1295,1082,842,697,751,792,809,791,589,507,399,327,285,281,163,01/15/2019
000106,20190116,P,73,36,65,52,82,138,237,400,558,661,791,826,902,1002,1073,1071,1013,874,580,406,287,210,144,101,01/16/2019
000106,20190116,S,116,101,74,68,104,194,406,712,442,1205,943,814,784,785,810,892,825,557,505,504,390,342,295,212,01/16/2019
000106,20190117,P,75,48,58,60,89,142,286,465,641,720,784,966,1085,1114,1363,1653,1478,1211,840,531,404,281,191,113,01/17/2019
000106,20190117,S,216,135,110,119,134,242,511,1064,1378,1508,1406,1118,1096,1172,1183,1289,1511,1354,1109,1177,1039,752,651,517,01/17/2019
000106,20190118,P,83,74,76,78,69,105,221,273,450,508,727,942,1080,1214,1513,1710,1226,1082,991,959,549,410,220,169,01/18/2019
000106,20190118,S,324,256,120,128,98,206,733,1202,1385,1350,1340,1432,1471,1819,1691,1780,1007,1205,1558,1779,1661,1536,1746,1369,01/18/2019
000106,20190119,P,110,103,114,66,93,143,245,467,692,1039,1266,1536,1567,1888,2004,2212,1719,1964,1340,927,645,440,359,199,01/19/2019
000106,20190119,S,434,287,136,103,108,449,1734,1729,1703,1594,1736,1622,2158,2157,2082,2209,1674,1304,1012,768,589,457,309,216,01/19/2019
000106,20190120,P,89,74,86,80,85,123,291,492,880,1433,1990,2028,2153,2404,2224,2134,1976,1744,2151,1803,1409,853,326,141,01/20/2019
000106,20190120,S,158,112,54,66,57,175,1170,1764,1486,1456,1815,1858,1800,1374,1362,1251,1126,916,698,484,401,338,246,159,01/20/2019
000106,20190121,P,93,58,118,111,202,420,839,1217,1762,2442,2997,2886,1858,2315,1325,1585,1302,1316,1356,817,407,270,152,91,01/21/2019
000106,20190121,S,95,81,78,84,109,225,718,1639,1591,1329,1246,1101,993,950,800,187,1267,609,496,376,297,191,158,101,01/21/2019
000106,20190122,P,97,49,77,76,98,185,384,535,661,765,780,597,905,1644,1392,1313,1303,924,589,418,290,196,143,95,01/22/2019
000106,20190122,S,99,86,76,64,93,161,274,814,971,849,813,812,726,686,697,738,674,504,386,348,279,246,216,129,01/22/2019
000106,20190123,P,88,57,50,68,92,180,312,496,664,808,889,939,965,1206,1212,1193,967,724,366,388,259,194,177,107,01/23/2019
000106,20190123,S,108,87,76,54,112,178,409,843,1176,1312,1096,979,916,924,906,978,871,522,534,282,654,405,344,304,01/23/2019
