COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000119,20150101,P,63,53,56,41,34,74,109,177,328,458,538,352,383,499,423,580,707,594,503,358,211,177,141,104,01/01/2015
000119,20150101,S,48,39,48,40,42,62,116,498,792,782,720,759,774,781,798,771,690,481,404,287,212,168,106,89,01/01/2015
000119,20150102,P,56,51,36,56,71,148,305,421,584,825,884,793,713,811,1030,745,1084,670,452,474,324,219,192,125,01/02/2015
000119,20150102,S,73,61,49,53,56,123,231,581,933,913,854,764,930,1019,1152,1061,953,771,581,462,411,247,203,127,01/02/2015
000119,20150103,P,96,48,34,26,20,44,96,198,303,614,752,818,830,604,775,893,977,648,332,229,176,150,149,121,01/03/2015
000119,20150103,S,101,66,52,60,81,122,209,589,789,741,709,944,607,511,602,666,535,484,363,237,220,173,131,86,01/03/2015
000119,20150104,P,75,47,13,20,26,45,94,324,763,937,825,743,805,834,874,729,772,387,327,268,151,101,50,60,01/04/2015
000119,20150104,S,89,45,30,26,45,59,130,418,586,577,547,650,708,770,811,720,663,456,411,313,238,170,126,85,01/04/2015
000119,20150105,P,38,32,12,7,50,153,296,415,293,428,356,342,275,407,356,519,876,616,425,320,209,183,122,88,01/05/2015
000119,20150105,S,73,44,52,40,64,113,196,410,586,630,606,641,591,630,660,586,592,403,389,299,266,190,130,103,01/05/2015
000119,20150106,P,50,45,52,35,69,91,165,299,265,441,527,551,523,323,462,711,848,643,407,282,207,169,119,51,01/06/2015
000119,20150106,S,94,79,64,53,67,77,192,428,640,538,536,574,559,534,489,556,481,440,312,268,211,190,124,83,01/06/2015
000119,20150107,P,58,54,46,43,45,89,144,286,404,447,467,528,503,544,516,735,930,676,389,293,205,159,112,74,01/07/2015
000119,20150107,S,55,68,65,59,48,104,157,350,590,615,546,558,614,517,510,574,576,466,347,308,244,174,132,104,01/07/2015
000119,20150108,P,43,38,44,38,42,69,111,272,333,472,541,518,498,528,639,773,862,427,262,221,200,79,62,46,01/08/2015
000119,20150108,S,88,71,71,59,61,125,205,408,639,598,549,577,640,570,635,692,654,578,479,420,317,212,139,92,01/08/2015
000119,20150110,P,42,20,21,16,14,35,60,228,294,363,606,767,781,747,811,913,879,482,334,208,107,106,33,23,01/10/2015
000119,20150110,S,80,64,51,51,51,77,220,649,774,693,643,811,784,624,723,706,742,619,476,340,286,216,165,109,01/10/2015
000119,20150111,P,20,20,13,24,35,45,79,97,307,748,721,879,396,391,327,525,271,435,458,376,301,183,121,84,01/11/2015
000119,20150111,S,67,51,42,30,40,69,126,379,456,465,476,506,496,492,508,456,450,331,325,408,430,208,121,91,01/11/2015
000119,20150112,P,69,58,46,45,78,139,207,220,254,304,584,563,540,547,566,598,671,515,291,206,136,113,80,59,01/12/2015
000119,20150112,S,73,53,31,43,67,99,187,410,360,788,657,632,527,469,508,517,462,391,270,218,184,131,108,71,01/12/2015
000119,20150113,P,31,30,27,32,25,36,145,217,355,445,437,448,486,527,541,614,650,524,313,217,172,127,117,76,01/13/2015
000119,20150113,S,64,50,64,44,61,75,186,370,528,578,505,449,381,392,425,456,452,369,239,202,204,144,102,75,01/13/2015
000119,20150114,P,46,36,26,41,48,65,182,273,397,500,528,574,590,580,581,774,795,605,384,270,219,157,114,87,01/14/2015
000119,20150114,S,49,55,54,50,67,103,219,458,610,676,580,532,526,548,509,567,573,455,355,303,270,204,150,139,01/14/2015
000119,20150115,P,57,32,33,45,60,63,161,307,370,471,518,544,571,596,632,829,903,610,490,309,232,174,139,81,01/15/2015
000119,20150115,S,108,76,75,55,69,121,227,486,650,711,582,562,500,581,629,629,750,624,518,465,442,334,247,201,01/15/2015
000119,20150116,P,51,51,35,39,76,103,188,297,375,426,606,670,693,686,834,868,1179,906,612,408,283,217,136,105,01/16/2015
000119,20150116,S,134,100,79,67,71,133,222,571,726,828,796,690,717,809,913,982,1115,1031,899,821,877,679,375,191,01/16/2015
000119,20150117,P,59,62,64,24,43,77,150,266,498,790,764,775,703,626,633,635,781,587,426,296,251,177,107,100,01/17/2015
000119,20150117,S,124,128,62,41,42,82,158,376,540,447,467,683,887,1151,978,960,1015,864,609,480,389,258,172,121,01/17/2015
000119,20150118,P,51,40,40,37,38,52,100,224,391,660,851,902,846,912,821,919,1201,915,630,582,453,268,157,77,01/18/2015
000119,20150118,S,75,60,39,46,41,57,159,562,775,761,812,672,637,693,742,679,710,540,458,368,309,190,171,82,01/18/2015
000119,20150119,P,62,35,44,38,87,142,380,518,727,985,1209,1139,1046,972,951,849,918,722,480,411,255,187,152,141,01/19/2015
000119,20150119,S,69,40,38,45,84,129,250,499,661,630,643,625,595,584,639,607,582,492,328,229,190,186,113,90,01/19/2015
000119,20150120,P,72,52,35,24,58,98,214,356,366,487,516,571,546,502,600,618,706,517,355,205,199,153,104,71,01/20/2015
000119,20150120,S,82,36,54,39,71,62,182,415,534,490,489,483,454,416,489,497,452,374,282,257,191,149,117,94,01/20/2015
000119,20150121,P,58,34,46,22,55,78,157,250,366,438,408,451,545,538,560,613,687,488,349,218,158,63,51,147,01/21/2015
000119,20150121,S,68,65,65,45,49,74,195,442,539,557,486,453,421,378,419,505,581,293,275,264,278,242,129,121,01/21/2015
000119,20150122,P,55,40,40,38,52,72,145,246,382,432,484,475,533,506,599,634,684,570,466,316,217,185,142,107,01/22/2015
000119,20150122,S,109,83,71,69,75,98,181,406,528,562,596,496,568,754,934,619,827,615,443,453,409,326,230,152,01/22/2015
000119,20150123,P,74,39,35,36,53,84,161,292,436,479,555,618,571,539,304,399,381,338,173,104,67,48,33,22,01/23/2015
000119,20150123,S,84,86,69,55,69,113,214,491,799,822,697,694,739,799,957,1097,1216,1114,1013,956,910,716,308,185,01/23/2015
000119,20150124,P,13,20,42,28,31,29,58,148,147,178,257,227,254,257,724,986,1188,794,527,428,283,208,190,150,01/24/2015
000119,20150124,S,98,81,55,54,57,91,273,716,969,847,853,790,955,775,798,841,803,669,504,386,297,246,155,121,01/24/2015
000119,20150125,P,114,74,72,40,53,75,195,388,599,967,1320,1337,1325,1155,997,760,481,363,403,426,347,159,44,24,01/25/2015
000119,20150125,S,68,49,35,28,41,58,151,459,520,632,564,531,567,607,703,677,747,602,446,348,251,177,115,93,01/25/2015
000119,20150128,P,50,44,40,43,52,77,183,341,413,467,524,580,551,548,604,661,729,549,391,285,211,160,114,76,01/28/2015
000119,20150128,S,66,58,49,57,69,109,209,439,538,563,522,517,480,493,555,602,562,447,336,358,299,202,170,130,01/28/2015
000119,20150129,P,63,42,39,34,60,84,168,319,405,509,503,544,539,532,585,689,768,621,444,313,229,167,110,81,01/29/2015
000119,20150129,S,103,74,69,55,83,110,248,441,576,606,610,518,536,531,600,588,670,599,493,412,410,268,219,138,01/29/2015
000119,20150130,P,52,47,43,37,67,76,181,286,414,498,570,630,651,688,716,824,908,739,517,304,243,168,115,94,01/30/2015
