COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000119,20110107,P,60,55,54,33,59,69,129,260,374,508,580,619,652,754,788,895,1243,950,578,404,243,222,154,93,01/07/2011
000119,20110107,S,98,62,53,55,68,85,212,508,766,887,744,566,580,548,651,687,904,899,672,720,731,408,232,137,01/07/2011
000119,20110108,P,62,44,39,38,49,60,148,333,424,606,782,721,735,720,867,1051,1173,709,499,405,236,203,106,76,01/08/2011
000119,20110108,S,61,66,45,50,57,82,178,666,899,780,701,725,650,537,656,706,617,631,489,375,264,192,130,99,01/08/2011
000119,20110109,P,46,31,21,40,37,42,113,205,373,641,889,806,735,734,427,811,1137,466,394,394,214,124,77,58,01/09/2011
000119,20110109,S,71,36,39,24,21,43,76,288,546,448,400,369,294,251,121,209,157,144,89,63,42,38,16,15,01/09/2011
000119,20110110,P,30,28,23,25,58,74,186,251,300,327,429,501,521,556,621,659,719,472,277,182,118,109,89,56,01/10/2011
000119,20110110,S,8,20,25,13,38,42,92,221,363,324,285,399,412,401,389,385,371,270,222,158,144,96,64,90,01/10/2011
000119,20110111,P,37,31,33,32,52,67,111,199,58,570,448,468,443,524,509,615,728,514,385,235,178,146,106,76,01/11/2011
000119,20110111,S,71,48,31,48,42,84,166,334,500,554,556,455,387,385,434,442,449,369,253,202,182,153,106,99,01/11/2011
000119,20110112,P,50,29,30,36,45,62,112,202,334,417,445,502,501,507,574,662,843,658,355,238,214,132,108,79,01/12/2011
000119,20110112,S,74,54,43,42,49,97,186,419,597,620,531,400,451,455,482,487,457,396,328,287,245,156,173,111,01/12/2011
000119,20110113,P,44,38,48,46,54,71,106,228,223,533,481,491,565,612,585,762,967,610,432,301,222,160,107,93,01/13/2011
000119,20110113,S,77,73,56,50,64,95,192,458,613,593,553,503,452,513,552,553,557,499,447,405,385,246,213,205,01/13/2011
000119,20110114,P,67,33,42,39,41,57,104,193,341,432,498,532,614,612,730,827,1040,732,524,376,241,189,136,69,01/14/2011
000119,20110114,S,159,86,62,59,50,75,151,499,713,719,664,563,534,574,748,821,998,971,860,816,802,624,354,210,01/14/2011
000119,20110115,P,61,43,46,30,46,63,132,266,397,522,590,653,643,682,761,842,1089,874,524,357,247,206,107,98,01/15/2011
000119,20110115,S,133,89,59,54,49,86,196,839,1081,867,781,774,872,699,836,836,718,638,509,396,312,242,148,123,01/15/2011
000119,20110116,P,58,47,43,26,26,41,89,193,388,599,727,878,859,884,896,963,1048,721,561,484,347,198,118,72,01/16/2011
000119,20110116,S,51,50,39,19,39,41,132,549,787,662,724,615,574,534,654,597,576,424,411,289,221,140,88,64,01/16/2011
000119,20110117,P,58,31,32,34,41,86,224,332,405,806,938,1049,779,865,638,591,562,583,340,197,194,136,75,69,01/17/2011
000119,20110117,S,51,38,35,23,38,71,157,297,289,220,208,399,481,459,358,230,201,95,169,115,78,89,39,63,01/17/2011
000119,20110118,P,37,34,30,28,44,73,139,213,244,412,458,480,493,498,557,599,682,502,310,218,188,126,94,64,01/18/2011
000119,20110118,S,35,27,37,28,8,32,67,236,274,420,460,464,385,396,393,382,376,327,230,197,171,78,85,89,01/18/2011
000119,20110119,P,41,41,47,30,37,63,93,168,186,328,305,327,381,326,406,408,472,449,256,173,101,88,60,55,01/19/2011
000119,20110119,S,64,48,50,26,41,73,149,383,490,380,306,309,272,309,327,353,268,159,142,103,136,129,90,89,01/19/2011
000119,20110120,P,43,37,42,39,36,56,97,176,302,370,194,625,484,578,702,812,961,672,446,295,217,154,118,77,01/20/2011
000119,20110120,S,61,40,28,35,43,71,132,491,750,547,574,445,434,437,473,452,505,469,400,334,302,225,170,177,01/20/2011
000119,20110121,P,45,38,36,28,41,65,117,234,331,395,401,493,465,614,708,761,936,812,491,356,239,171,118,64,01/21/2011
000119,20110121,S,116,64,44,40,50,77,120,383,548,468,434,433,418,562,771,724,820,987,773,714,705,455,273,178,01/21/2011
000119,20110122,P,48,35,33,26,33,34,98,182,313,353,493,498,367,495,567,626,820,612,336,240,165,169,89,67,01/22/2011
000119,20110122,S,129,75,46,42,22,50,160,488,797,468,356,289,396,509,469,666,570,341,341,244,217,115,80,62,01/22/2011
000119,20110123,P,37,35,23,38,34,56,109,225,350,614,950,925,1014,1031,899,819,979,666,594,610,420,256,145,71,01/23/2011
000119,20110123,S,39,26,35,17,13,33,116,728,798,665,484,432,518,537,574,543,511,441,337,95,71,51,72,97,01/23/2011
000119,20110124,P,44,19,40,29,50,125,285,388,289,506,553,490,487,550,564,628,716,505,317,208,149,111,92,59,01/24/2011
000119,20110124,S,73,79,37,30,33,144,243,326,569,703,521,417,419,434,445,413,425,370,268,216,172,149,83,92,01/24/2011
000119,20110125,P,39,31,33,35,28,70,116,228,340,393,457,437,472,519,584,631,673,444,332,219,179,148,110,81,01/25/2011
000119,20110125,S,61,59,46,47,54,102,210,426,570,614,446,399,385,366,400,433,374,361,241,233,187,139,133,87,01/25/2011
000119,20110126,P,36,39,38,36,39,55,113,211,336,398,467,466,483,520,551,628,753,533,393,249,168,111,126,74,01/26/2011
000119,20110126,S,53,52,51,45,42,89,191,457,587,539,476,438,404,454,449,458,480,457,303,315,226,159,167,151,01/26/2011
000119,20110127,P,42,43,43,33,51,61,129,231,359,442,478,475,512,553,621,755,843,609,419,318,240,154,131,116,01/27/2011
000119,20110127,S,93,67,57,59,75,132,227,511,694,662,590,508,487,548,522,519,786,603,460,508,382,251,198,165,01/27/2011
000119,20110128,P,55,49,56,47,51,58,140,263,355,456,530,592,585,585,725,808,896,739,685,673,265,185,136,127,01/28/2011
000119,20110128,S,123,82,68,46,59,114,225,539,910,850,786,685,619,709,798,1053,1094,1239,988,933,934,600,356,191,01/28/2011
000119,20110129,P,63,39,40,32,43,64,136,304,433,587,601,708,683,637,767,902,1147,837,563,407,290,207,214,126,01/29/2011
000119,20110129,S,117,74,55,45,48,94,260,840,998,795,734,751,837,735,697,719,757,659,487,399,327,253,147,109,01/29/2011
000119,20110130,P,93,64,45,41,43,74,136,263,475,853,1205,1351,1521,1346,1220,991,1030,798,703,674,564,397,405,221,01/30/2011
000119,20110130,S,62,44,46,34,33,47,143,474,593,635,560,516,569,605,692,705,693,577,434,353,248,184,112,71,01/30/2011
000119,20110131,P,80,53,47,40,70,121,210,396,453,551,624,626,598,560,566,496,510,411,257,165,110,91,68,47,01/31/2011
000119,20110131,S,51,58,39,42,52,95,207,375,421,387,412,386,339,333,346,334,308,243,126,166,148,89,90,66,01/31/2011
000119,20110201,P,29,34,32,36,34,54,98,182,212,249,305,365,361,375,345,427,421,396,259,185,122,101,91,49,02/01/2011
000119,20110201,S,51,44,48,38,44,73,110,277,316,258,303,294,313,313,318,330,334,284,214,155,144,111,71,64,02/01/2011
000119,20110202,P,34,40,28,23,34,62,101,162,284,300,359,432,443,475,435,483,505,465,293,232,154,134,111,70,02/02/2011
000119,20110202,S,48,43,41,28,36,69,111,274,300,343,407,377,346,404,401,453,443,375,274,228,196,150,159,94,02/02/2011
000119,20110203,P,47,36,31,33,50,57,129,206,300,394,367,453,480,509,525,620,767,580,339,275,168,132,110,76,02/03/2011
000119,20110203,S,57,66,52,51,47,84,184,364,543,562,528,467,451,465,457,532,508,460,336,314,312,253,175,175,02/03/2011
000119,20110204,P,56,33,32,34,47,77,118,196,362,425,549,562,585,650,689,828,814,856,507,268,222,136,103,72,02/04/2011
000119,20110204,S,101,61,67,47,56,89,185,435,722,691,734,600,554,573,658,708,807,823,714,539,611,501,287,167,02/04/2011
