COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000119,20090101,P,66,61,38,36,32,33,72,178,279,433,564,798,804,875,879,992,1100,763,486,327,255,194,133,85,01/01/2009
000119,20090101,S,58,56,54,38,45,55,138,506,778,744,671,670,726,705,765,690,675,482,421,318,226,188,146,93,01/01/2009
000119,20090103,P,91,71,52,66,66,128,232,319,510,789,885,782,1074,1161,937,1006,971,675,520,352,247,193,118,128,01/03/2009
000119,20090103,S,88,71,49,48,66,83,177,671,807,614,520,660,895,577,633,596,499,427,319,249,203,176,127,117,01/03/2009
000119,20090104,P,86,70,60,44,67,94,156,313,412,732,1062,1237,1176,1154,926,1083,1018,713,567,454,334,207,145,86,01/04/2009
000119,20090104,S,49,42,32,39,25,72,133,574,862,723,670,686,721,744,720,712,679,503,411,363,262,168,145,79,01/04/2009
000119,20090105,P,62,46,38,29,43,94,191,329,415,481,650,676,603,663,727,809,933,645,403,237,170,128,105,63,01/05/2009
000119,20090105,S,63,38,55,68,95,196,385,518,651,709,653,555,527,489,487,518,528,416,332,254,206,127,123,94,01/05/2009
000119,20090106,P,50,30,26,23,44,51,95,163,267,288,346,504,444,505,538,778,794,592,406,229,169,145,108,71,01/06/2009
000119,20090106,S,70,64,46,45,63,136,275,482,636,583,535,405,399,356,382,382,403,332,265,198,187,123,93,68,01/06/2009
000119,20090107,P,23,43,9,10,7,10,5,3,7,5,16,253,451,368,475,401,376,459,394,282,175,116,79,65,01/07/2009
000119,20090107,S,53,50,40,36,55,96,68,4,7,3,211,353,327,289,358,305,333,256,203,198,151,145,116,104,01/07/2009
000119,20090108,P,49,34,31,33,28,54,119,236,356,411,577,688,720,739,895,1059,1399,1004,541,343,248,187,147,88,01/08/2009
000119,20090108,S,50,54,37,55,65,144,327,804,985,1234,919,587,528,532,559,546,565,476,371,360,255,211,189,147,01/08/2009
000119,20090109,P,65,53,45,33,47,39,98,174,194,388,476,596,663,753,747,976,1138,840,551,355,249,174,108,80,01/09/2009
000119,20090109,S,87,47,60,51,34,44,223,496,809,774,688,476,420,481,483,631,694,729,626,588,539,346,200,146,01/09/2009
000119,20090110,P,52,41,42,40,37,78,140,285,450,600,743,806,737,896,1179,1244,1400,879,604,397,232,162,126,85,01/10/2009
000119,20090110,S,100,50,35,50,45,106,293,1226,1357,1000,760,787,582,587,645,585,681,533,431,315,289,178,140,103,01/10/2009
000119,20090111,P,76,32,50,38,44,62,103,210,376,560,837,1028,952,968,994,808,366,1003,585,503,294,172,90,53,01/11/2009
000119,20090111,S,65,26,41,36,41,49,148,568,724,611,484,484,499,544,560,583,596,440,413,385,250,169,99,65,01/11/2009
000119,20090112,P,47,44,40,37,42,82,184,242,220,225,351,355,327,338,457,540,621,493,279,169,114,99,64,51,01/12/2009
000119,20090112,S,54,51,33,46,82,159,205,395,455,348,319,310,411,373,397,427,376,295,195,177,132,110,73,53,01/12/2009
000119,20090113,P,35,26,21,31,43,65,95,198,302,363,134,735,497,539,607,812,885,676,396,248,182,143,104,74,01/13/2009
000119,20090113,S,41,51,49,34,53,124,265,341,557,877,720,784,530,422,446,437,445,358,270,230,171,143,125,72,01/13/2009
000119,20090114,P,59,40,25,34,40,72,111,243,375,453,484,477,509,576,678,849,891,665,420,285,204,146,106,81,01/14/2009
000119,20090114,S,65,58,45,42,67,145,291,592,742,713,558,497,436,410,462,521,483,404,292,237,244,176,159,77,01/14/2009
000119,20090115,P,45,39,30,41,38,74,142,239,349,440,487,505,544,589,757,793,978,712,496,331,237,156,136,84,01/15/2009
000119,20090115,S,80,47,53,48,66,153,298,532,749,746,568,502,459,412,511,523,550,499,418,420,324,255,193,138,01/15/2009
000119,20090116,P,62,38,42,52,38,73,153,272,395,524,560,673,654,721,910,1112,1312,1002,636,476,308,218,142,91,01/16/2009
000119,20090116,S,108,108,90,79,78,147,300,634,941,857,788,613,564,703,722,825,1036,1026,901,835,840,548,345,230,01/16/2009
000119,20090117,P,66,45,26,34,50,61,122,246,412,569,694,735,724,724,916,1054,1250,916,589,426,275,198,129,112,01/17/2009
000119,20090117,S,132,96,71,63,57,103,273,934,1109,849,779,775,836,831,787,819,847,654,573,475,301,233,156,115,01/17/2009
000119,20090118,P,82,51,46,49,24,60,86,181,350,558,823,855,896,946,951,982,1279,849,587,485,429,201,145,81,01/18/2009
000119,20090118,S,71,48,34,31,40,69,130,607,863,823,763,651,601,621,650,696,715,538,498,403,284,233,165,91,01/18/2009
000119,20090119,P,46,44,35,44,53,118,253,393,578,779,974,1001,1008,1000,1002,1047,1174,794,577,429,314,183,117,73,01/19/2009
000119,20090119,S,74,45,56,64,127,225,373,697,775,841,668,603,534,517,547,587,541,459,332,308,221,150,114,69,01/19/2009
000119,20090120,P,49,46,26,42,58,86,189,344,470,511,467,569,552,583,606,676,769,598,394,256,182,144,109,56,01/20/2009
000119,20090120,S,71,52,56,46,79,171,357,510,622,640,559,470,395,407,479,456,453,398,310,244,194,139,121,75,01/20/2009
000119,20090121,P,49,39,45,31,62,80,130,251,329,466,475,535,534,552,646,744,798,632,415,286,225,152,108,69,01/21/2009
000119,20090121,S,56,45,52,40,75,175,329,495,604,707,586,473,444,432,506,470,550,442,319,305,222,208,182,88,01/21/2009
000119,20090122,P,67,41,47,33,57,70,121,284,344,461,485,528,578,576,690,698,824,684,495,335,206,163,128,104,01/22/2009
000119,20090122,S,77,84,58,54,78,149,312,501,659,629,573,516,546,521,583,654,642,575,528,416,385,240,184,119,01/22/2009
000119,20090123,P,96,31,49,48,35,58,90,177,241,456,473,651,512,606,637,809,810,417,533,420,210,137,84,74,01/23/2009
000119,20090123,S,95,69,69,40,50,88,219,501,600,517,642,725,535,685,709,858,613,401,334,527,806,720,583,217,01/23/2009
000119,20090124,P,12,108,39,30,30,79,128,224,326,266,357,493,557,718,773,802,1069,823,422,287,206,169,106,110,01/24/2009
